DATE,PMAIZMTUSDM
2016-01-01,161.098876879699
2016-02-01,159.716845357143
2016-03-01,159.226532142857
2016-04-01,164.465401870748
2016-05-01,169.002119897959
2016-06-01,179.912739285714
2016-07-01,161.823044821429
2016-08-01,150.21541242236
2016-09-01,148.51190170068
2016-10-01,152.617444047619
2016-11-01,151.331415714286
2016-12-01,152.729924659864
2017-01-01,160.012106964286
2017-02-01,162.962535912698
2017-03-01,158.979119254658
2017-04-01,156.540452067669
2017-05-01,158.600219642857
2017-06-01,157.973907142857
2017-07-01,157.610645892857
2017-08-01,148.543430357143
2017-09-01,147.315857857143
2017-10-01,148.722376785714
2017-11-01,148.792165892857
2017-12-01,149.0874275
2018-01-01,155.916875340136
2018-02-01,163.460969736842
2018-03-01,172.076589965986
2018-04-01,175.600982482993
2018-05-01,179.179058928571
2018-06-01,165.140285544218
2018-07-01,156.55426547619
2018-08-01,162.522258540373
2018-09-01,154.945003383459
2018-10-01,160.365565062112
2018-11-01,160.878207678571
2018-12-01,167.489880555556
2019-01-01,166.846241496599
2019-02-01,169.656283458647
2019-03-01,166.321331972789
2019-04-01,161.653386564626
2019-05-01,171.180153571429
2019-06-01,195.167922321429
2019-07-01,189.486373214286
2019-08-01,163.628614285714
2019-09-01,157.374436607143
2019-10-01,167.297794099379
2019-11-01,166.361785526316
2019-12-01,167.059017321429
2020-01-01,171.814135204082
2020-02-01,168.744598496241
2020-03-01,162.179148214286
2020-04-01,147.012160204082
2020-05-01,143.98924375
2020-06-01,148.042380357143
2020-07-01,152.587619642857
2020-08-01,149.392999829932
2020-09-01,166.602533503401
2020-10-01,186.7663875
2020-11-01,190.625037593985
2020-12-01,199.184417517007
2021-01-01,231.754461466165
2021-02-01,245.554056578947
2021-03-01,245.760356832298
2021-04-01,268.622448809524
2021-05-01,304.297549659864
2021-06-01,292.523726785714
2021-07-01,278.445755612245
2021-08-01,257.020755357143
2021-09-01,235.815603571429
2021-10-01,239.60245085034
2021-11-01,248.767746071429
2021-12-01,264.573146768707
2022-01-01,276.719178214286
2022-02-01,292.671593045113
2022-03-01,335.930684161491
2022-04-01,348.507116964286
2022-05-01,344.909299603175
2022-06-01,335.717134013605
2022-07-01,312.682041964286
